City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
443,bukama,-9.2,25.85,68.52,96,99,1.28,CD,1708486233
444,hawera,-39.5917,174.2833,63.01,59,100,8.59,NZ,1708486234
445,mala,-12.6581,-76.6308,74.3,84,91,4.36,PE,1708486234
446,judenburg,47.1667,14.6667,30.92,86,75,2.3,AT,1708486234
447,xilin hot,43.9667,116.0333,-0.89,60,59,5.41,CN,1708486234
448,chul'man,56.8479,124.9104,-3.91,91,100,17.22,RU,1708486234
449,kralendijk,12.15,-68.2667,78.78,89,20,9.22,BQ,1708486234
450,fortuna,40.5982,-124.1573,52.93,94,100,3.0,US,1708486235
451,chegdomyn,51.1167,133.0167,-1.55,71,96,4.88,RU,1708486235
452,kodinsk,58.6881,99.1844,-8.55,82,12,2.44,RU,1708486235
453,pangoa,-12.1167,-73.0,70.05,98,100,1.79,PE,1708486235
454,sinabang,2.4803,96.3801,82.38,75,97,4.63,ID,1708486236
455,mount gambier,-37.8333,140.7667,92.77,21,1,2.08,AU,1708486236
456,sao vicente,-23.9631,-46.3919,75.38,26,98,2.93,BR,1708486236
457,merizo village,13.2658,144.6691,84.76,75,54,20.45,GU,1708486236
458,coquimbo,-29.9533,-71.3436,65.93,82,0,2.3,CL,1708486097
459,yigou,35.8114,114.3167,23.22,86,100,15.7,CN,1708486236
460,juan griego,11.0817,-63.9655,66.33,100,74,12.66,VE,1708486237
461,hastings,50.8552,0.5729,50.79,41,100,18.52,GB,1708486237
462,lerwick,60.1545,-1.1494,44.6,79,60,12.44,GB,1708486237
463,quepos,9.4236,-84.1652,78.94,82,100,3.67,CR,1708486237
464,nola,40.922,14.5329,54.39,84,2,5.97,IT,1708486237
465,khandyga,62.6667,135.6,-29.51,89,93,0.02,RU,1708486238
466,atbasar,51.8,68.3333,-19.3,87,31,8.21,KZ,1708486238
467,novo aripuana,-5.1206,-60.3797,72.9,86,51,3.02,BR,1708486238
468,san patricio,28.017,-97.5169,66.83,86,0,12.84,US,1708486219
469,elliot lake,46.3834,-82.6331,26.29,96,100,5.66,CA,1708486238
470,kollam,8.8833,76.6,83.52,56,2,3.74,IN,1708486239
471,prince rupert,54.3161,-130.3201,42.49,93,0,8.05,CA,1708486220
472,madang,-5.2246,145.7966,87.13,67,88,8.46,PG,1708486239
473,tezu,27.9167,96.1667,60.67,90,100,2.64,IN,1708486239
474,qandala,11.472,49.8728,75.45,65,22,3.09,SO,1708486239
475,itamarandiba,-17.8572,-42.8589,66.15,100,100,2.26,BR,1708486240
476,yuanping,38.7153,112.7575,19.54,84,100,1.63,CN,1708486240
477,burang,30.25,81.1667,18.25,91,100,8.79,CN,1708486240
478,kathmandu,27.7167,85.3167,55.62,71,75,4.61,NP,1708486127
479,rio do sul,-27.2142,-49.6431,70.39,98,100,1.03,BR,1708486240
480,sheikhpura,25.15,85.85,77.58,37,80,6.89,IN,1708486240
481,gebeit,21.0667,36.3167,55.45,81,0,4.76,SD,1708486240
482,nogliki,51.8333,143.1667,-1.66,62,29,18.01,RU,1708486240
483,phang nga,8.4509,98.5298,89.64,51,26,2.55,TH,1708486241
484,san miguel,13.4833,-88.1833,75.11,50,18,4.68,SV,1708486241
485,padampur,29.6833,73.6167,64.72,41,0,5.95,IN,1708486241
486,freetown,8.484,-13.2299,82.11,74,75,9.22,SL,1708486241
487,chulakkurgan,43.765,69.1814,23.16,64,100,1.59,KZ,1708486241
488,mogocha,53.7333,119.7667,6.37,56,4,4.88,RU,1708486241
489,vilyuchinsk,52.9306,158.4028,17.87,70,53,47.04,RU,1708486242
490,sterling,39.0062,-77.4286,38.28,67,0,6.91,US,1708486152
491,krasnogorskiy,54.6025,61.231,-12.98,91,100,5.21,RU,1708486242
492,isla vista,34.4133,-119.861,59.83,88,50,6.4,US,1708486242
493,roosevelt,33.9668,-103.4505,53.47,16,12,7.67,US,1708486030
494,de aar,-30.6497,24.0123,69.84,31,40,9.48,ZA,1708486242
495,neryungri,56.6709,124.6491,-3.51,91,100,20.56,RU,1708486242
496,ust'-ilimsk,58.0006,102.6619,-8.55,87,13,5.01,RU,1708486243
497,fada,9.5667,8.3,72.97,29,41,4.47,NG,1708486243
498,sao tome,0.3365,6.7273,81.99,82,99,3.29,ST,1708486243
499,santa quiteria do maranhao,-3.5156,-42.5467,73.29,99,99,3.27,BR,1708486243
500,kidal,18.4411,1.4078,66.88,15,0,7.58,ML,1708486243
501,darwin,-12.4611,130.8418,93.06,66,75,10.36,AU,1708485976
502,buala,-8.145,159.5921,80.22,86,100,5.97,SB,1708486243
503,arinos,-15.9169,-46.1056,70.5,98,100,2.62,BR,1708486244
504,nizhnevartovsk,60.9344,76.5531,-6.99,64,0,13.42,RU,1708486051
505,camacupa,-12.0167,17.4833,60.71,93,76,1.9,AO,1708486244
506,nurota,40.5614,65.6886,27.36,50,100,0.78,UZ,1708486244
507,laguna,38.421,-121.4238,52.39,92,100,6.91,US,1708486244
508,liptovsky mikulas,49.0806,19.6222,39.56,97,98,1.59,SK,1708486244
509,guangyuan,32.442,105.823,37.56,67,100,10.76,CN,1708486244
510,susuman,62.7833,148.1667,-19.01,84,100,4.0,RU,1708486245
511,ust-tsilma,65.441,52.1498,6.62,96,71,5.01,RU,1708486245
512,talachyn,54.4097,29.6917,29.66,97,100,7.11,BY,1708486245
513,sa'dah,16.9402,43.7639,58.48,49,2,4.36,YE,1708486245
514,edea,3.8,10.1333,79.23,92,100,0.96,CM,1708486245
515,ierapetra,35.01,25.7353,53.15,76,56,7.0,GR,1708486245
516,mar del plata,-38.0023,-57.5575,74.08,93,0,8.01,AR,1708486147
517,lata,40.1629,-8.3327,44.92,82,77,2.1,PT,1708486246
518,kelso,46.1468,-122.9084,51.1,89,100,1.01,US,1708486246
519,deori khas,23.4,79.0167,76.75,35,11,2.55,IN,1708486246
520,saynshand,44.8824,110.1163,-4.58,61,84,6.33,MN,1708486246
521,hilo,19.7297,-155.09,75.27,76,20,9.22,US,1708486246
522,ar rutbah,33.0381,40.2848,45.63,68,0,2.42,IQ,1708486246
523,torrington,41.8007,-73.1212,26.11,70,6,1.48,US,1708486120
524,mitu,1.1983,-70.1733,73.49,62,54,1.52,CO,1708486247
525,tionk essil,12.7856,-16.5217,77.05,18,56,9.24,SN,1708486247
526,barcelos,41.5388,-8.6151,53.85,76,96,3.47,PT,1708486081
527,askale,39.9208,40.695,29.55,92,99,1.1,TR,1708486247
528,tucumcari,35.1717,-103.725,61.95,27,0,9.22,US,1708486247
529,kulhudhuffushi,6.6221,73.07,82.54,77,26,9.19,MV,1708486247
530,lakatoro,-16.0999,167.4164,86.74,67,82,4.09,VU,1708486247
531,sydney,-33.8679,151.2073,81.32,74,100,4.0,AU,1708486078
532,akjoujt,19.6969,-14.4164,68.95,21,95,11.32,MR,1708486248
533,diapaga,12.0708,1.7889,74.1,14,88,6.38,BF,1708486248
534,sibu,2.3,111.8167,82.71,83,40,1.14,MY,1708486248
535,siddipet,18.1,78.85,83.37,31,0,10.58,IN,1708486248
536,la ronge,55.1001,-105.2842,5.25,72,20,0.0,CA,1708486248
537,monywa,22.1167,95.1333,81.32,20,29,5.17,MM,1708486248
538,saint-felicien,48.6501,-72.4491,-5.12,71,0,0.0,CA,1708486249
539,sanctuary point,-35.1114,150.629,77.76,70,100,6.89,AU,1708486249
540,dharamsala,32.2419,76.3213,46.76,52,49,4.7,IN,1708486249
541,saint-paul,-21.0096,55.2707,78.89,74,100,3.04,RE,1708486249
542,marsh harbour,26.5412,-77.0636,69.42,58,3,15.28,BS,1708486207
543,kyren,51.6828,102.1408,-3.05,73,11,1.01,RU,1708486249
544,masterton,-40.9597,175.6575,68.88,44,93,10.16,NZ,1708486250
545,newman,37.3138,-121.0208,52.29,91,100,3.0,US,1708486016
546,igarra,7.2827,6.0878,77.41,87,20,5.19,NG,1708486250
547,bonthe,7.5264,-12.505,78.55,94,75,5.41,SL,1708486250
548,roma,43.2128,-75.4557,27.66,60,0,6.91,US,1708486250
549,ettelbruck,49.8475,6.1042,45.0,80,100,1.01,LU,1708486250
550,al hoceima,35.2433,-3.9309,51.03,71,0,3.44,MA,1708486251
551,pervomayskoye,43.919,46.7102,29.37,73,100,4.32,RU,1708486251
552,kamyzyak,46.11,48.0736,17.58,85,0,6.71,RU,1708486251
553,kavaratti,10.5669,72.642,82.92,67,2,13.67,IN,1708486251
554,kauhajoki,62.4333,22.1833,32.11,92,100,4.0,FI,1708486133
555,maumere,-8.6199,122.2111,85.91,76,90,10.69,ID,1708486251
556,hasaki,35.7333,140.8333,48.6,86,100,16.53,JP,1708486251
557,upper grand lagoon,30.1633,-85.7408,51.12,84,0,3.44,US,1708486251
558,wotho,10.1657,166.0102,80.35,84,100,21.32,MH,1708486252
559,antsiranana,-12.2787,49.2917,75.96,88,20,4.61,MG,1708486252
560,port macquarie,-31.4333,152.9167,81.9,68,69,8.28,AU,1708486235
561,susanville,40.4163,-120.653,39.04,82,75,0.0,US,1708485986
562,kingston,17.997,-76.7936,76.15,83,75,12.66,JM,1708486252
563,yoichi,43.2039,140.7703,25.34,65,100,13.98,JP,1708486252
564,pavlovsk,50.4578,40.1081,24.94,89,100,7.14,RU,1708486252
565,marsabit,2.3284,37.9899,66.81,78,100,15.01,KE,1708486253
566,shinas,24.7433,56.4658,64.65,55,5,13.24,OM,1708486253
567,ondjiva,-17.0667,15.7333,77.04,69,0,2.3,AO,1708485962
